text,label
"Win a free iPhone 15 now! Click here to claim your prize.",Spam
"Are we still meeting at 3 PM today for the project discussion?",Inbox
"You have been selected for a $1,000 Walmart Gift Card. Reply to get your money.",Spam
"Hey, can you send over the marketing report before Friday?",Inbox
"Congratulations! Your PayPal account has received $500. Log in to claim.",Spam
"The doctor's appointment is scheduled for tomorrow morning at 9 AM.",Inbox
"अब मुफ्त में आईफोन 15 जीतें! अपना इनाम पाने के लिए यहाँ क्लिक करें।",Spam
"क्या हम आज दोपहर 3 बजे प्रोजेक्ट पर चर्चा के लिए मिल रहे हैं?",Inbox
"आपको 1,00,000 रुपये के लॉटरी पुरस्कार के लिए चुना गया है। अपने पैसे पाने के लिए उत्तर दें।",Spam
"नमस्ते, क्या आप शुक्रवार से पहले मार्केटिंग रिपोर्ट भेज सकते हैं?",Inbox
"बधाई हो! आपके खाते में 50,000 रुपये जमा हो गए हैं। दावा करने के लिए लॉग इन करें।",Spam
"कल सुबह 9 बजे डॉक्टर की नियुक्ति निर्धारित है।",Inbox
"এখন বিনামূল্যে আইফোন ১৫ জিতে নিন! আপনার পুরস্কার দাবি করতে এখানে ক্লিক করুন।",Spam
"আমরা কি আজ বিকেল ৩টায় প্রকল্পের আলোচনার জন্য দেখা করছি?",Inbox
"বিনামূল্যে ৫ লক্ষ টাকা জিতুন! এখনই লিঙ্কে ক্লিক করুন।",Spam
"হাই, আপনি কি শুক্রবারের আগে মার্কেটিং রিপোর্টটা পাঠাতে পারবেন?",Inbox
"ఉచితంగా ఐఫోన్ 15 గెలుచుకోండి! మీ బహుమతిని క్లెయిమ్ చేసుకోవడానికి ఇక్కడ క్లిక్ చేయండి.",Spam
"మనము ఈరోజు మధ్యాహ్నం 3 గంటలకు పనుల కోసం కలుస్తున్నామా?",Inbox
"మీరు లాటరీలో రూ. 1,00,000 గెలుచుకున్నారు. డబ్బు పొందడానికి ఇప్పుడే రిప్లై ఇవ్వండి.",Spam
"రేపు ఉదయం 9 గంటలకు డాక్టర్ అపాయింట్‌మెంట్ ఖరారైంది.",Inbox
"இலவச ஐபோன் 15 ஐ வெல்லுங்கள்! பரிசைப் பெற இங்கே கிளிக் செய்யவும்.",Spam
"இன்று மாலை 3 மணிக்கு திட்ட விவாதத்திற்காக சந்திக்கிறோமா?",Inbox
"லொட்டரியில் ரூ 5 லட்சம் வென்றுள்ளீர்கள்! பணத்தை பெற இப்போதே கிளிக் செய்யவும்.",Spam
"வெள்ளிக்கிழமைக்கு முன் மார்க்கெட்டிங் அறிக்கையை அனுப்ப முடியுமா?",Inbox
"ಉಚಿತ ಐಫೋನ್ 15 ಗೆದ್ದುಕೊಳ್ಳಿ! ನಿಮ್ಮ ಬಹುಮಾನ ಪಡೆಯಲು ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ.",Spam
"ನಾವು ಇಂದು ಮಧ್ಯಾಹ್ನ 3 ಗಂಟೆಗೆ ಪ್ರಾಜೆಕ್ಟ್ ಚರ್ಚೆಗಾಗಿ ಭೇಟಿಯಾಗುತ್ತಿದ್ದೇವೆಯೇ?",Inbox
"ಮನೆಯಿಂದಲೇ ಕುಳಿತು ದಿನಕ್ಕೆ 5000 ರೂ ಸಂಪಾದಿಸಿ! ಲಿಂಕ್ ಮೇಲೆ ಕ್ಲಿಕ್ ಮಾಡಿ.",Spam
"ನಾಳೆ ಬೆಳಿಗ್ಗೆ 9 ಗಂಟೆಗೆ ವೈದ್ಯರ ಭೇಟಿ ನಿಗದಿಯಾಗಿದೆ.",Inbox
"મફત આઇફોન 15 જીતો! તમારું ઇનામ મેળવવા માટે અહીં ક્લિક કરો.",Spam
"શું આપણે આજે બપોરે 3 વાગ્યે પ્રોજેક્ટની ચર્ચા માટે મળી રહ્યા છીએ?",Inbox
"તમે 5 લાખ રૂપિયાની લોટરી જીતી છે! તમારા પૈસા મેળવવા માટે જવાબ આપો.",Spam
"શું તમે શુક્રવાર પહેલા માર્કેટિંગ રિપોર્ટ મોકલી શકો છો?",Inbox
"ਮੁਫ਼ਤ ਆਈਫੋਨ 15 ਜਿੱਤੋ! ਆਪਣਾ ਇਨਾਮ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਇੱਥੇ ਕਲਿੱक ਕਰੋ।",Spam
"ਕੀ ਅਸੀਂ ਅੱਜ ਦੁਪਹਿਰ 3 ਵਜੇ ਪ੍ਰੋਜੈਕਟ ਬਾਰੇ ਚਰਚਾ ਕਰਨ ਲਈ ਮਿਲ ਰਹੇ ਹਾਂ?",Inbox
"ਤੁਸੀਂ 1 ਲੱਖ ਰੁਪਏ ਲਾਟਰੀ ਵਿੱਚ ਜਿੱਤੇ ਹਨ! ਹੁਣੇ ਲਿੰਕ ਤੇ ਕਲਿੱਕ ਕਰੋ।",Spam
"ਕੱਲ੍ਹ ਸਵੇਰੇ 9 ਵਜੇ ਡਾਕਟਰ ਦੀ ਅਪੌਇੰਟਮੈਂਟ ਤੈਅ ਹੈ।",Inbox
"ഇപ്പോൾ സൗജന്യ ഐഫോൺ 15 നേടു! നിങ്ങളുടെ സമ്മാനം ക്ലെയിം ചെയ്യാൻ ഇവിടെ ക്ലിക്ക് ചെയ്യുക.",Spam
"പദ്ധതി ചർച്ചയ്ക്കായി നമ്മൾ ഇന്നും ഉച്ചയ്ക്ക് 3 മണിക്ക് കാണുന്നുണ്ടോ?",Inbox
"നിങ്ങൾ 1 ലക്ഷം രൂപ ലോട്ടറി അടിച്ചു! പണം ലഭിക്കാൻ ലിങ്കിൽ ക്ലിക്ക് ചെയ്യുക.",Spam
"നാളെ രാവിലെ 9 മണിക്ക് ഡോക്ടറെ കാണാൻ സമയമെടുത്തിട്ടുണ്ട്.",Inbox
